Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,DaysSinceEnrolled,YearsSinceEnrolled,Age,MntTotal,MntRegularProds,Children,HasChildren,AcceptedCmpTotal,HasAcceptedCmp,NumTotalPurchases,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Partner,Marital_Status_Single,AgeGroup_18-30,AgeGroup_31-45,AgeGroup_46-60,AgeGroup_61+
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,663,1,57,1617,1529,0,0,0,0,22,0,0,1,0,0,0,1,0,0,1,0
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,113,0,60,27,21,2,1,0,0,4,0,0,1,0,0,0,1,0,0,1,0
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,312,0,49,776,734,0,0,0,0,20,0,0,1,0,0,1,0,0,0,1,0
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,139,0,30,53,48,1,1,0,0,6,0,0,1,0,0,1,0,1,0,0,0
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,161,0,33,422,407,1,1,0,0,14,0,0,0,0,1,1,0,0,1,0,0
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,293,0,47,716,702,1,1,0,0,20,0,0,0,1,0,1,0,0,0,1,0
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,593,1,43,590,563,1,1,0,0,17,0,0,1,0,0,0,1,0,1,0,0
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,417,1,29,169,146,1,1,0,0,8,0,0,0,0,1,1,0,1,0,0,0
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,388,1,40,46,44,1,1,0,0,5,0,0,0,0,1,1,0,0,1,0,0
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,108,0,64,49,36,2,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,593,1,38,61,45,0,0,0,0,5,0,1,0,0,0,1,0,0,1,0,0
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,226,0,55,1102,1072,0,0,0,0,15,0,0,1,0,0,0,1,0,0,1,0
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,226,0,62,310,296,2,1,0,0,12,0,0,0,1,0,0,1,0,0,0,1
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,627,1,27,46,41,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,582,1,68,1315,1270,0,0,2,1,25,0,0,0,0,1,0,1,0,0,0,1
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,552,1,34,96,92,2,1,0,0,6,0,0,1,0,0,1,0,0,1,0,0
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,667,1,68,317,289,0,0,0,0,11,0,0,1,0,0,1,0,0,0,0,1
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,458,1,65,1782,1606,1,1,1,1,24,0,0,0,1,0,1,0,0,0,0,1
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,603,1,29,133,94,1,1,0,0,6,1,0,0,0,0,0,1,1,0,0,0
